GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,philt100,TimeFrame,GeoVintage,Source,Location
State,Alabama,AL,1,01,70.58,2019-2023,,Census,United States
State,Alaska,AK,2,02,55.31,2019-2023,,Census,United States
State,Arizona,AZ,4,04,62.43,2019-2023,,Census,United States
State,Arkansas,AR,5,05,73.36,2019-2023,,Census,United States
State,California,CA,6,06,51.54,2019-2023,,Census,United States
State,Colorado,CO,8,08,53.64,2019-2023,,Census,United States
State,Connecticut,CT,9,09,52.76,2019-2023,,Census,United States
State,Delaware,DE,10,10,59.05,2019-2023,,Census,United States
State,District of Columbia,DC,11,11,47.48,2019-2023,,Census,United States
State,Florida,FL,12,12,65.21,2019-2023,,Census,United States
State,Georgia,GA,13,13,63.34,2019-2023,,Census,United States
State,Hawaii,HI,15,15,50.80,2019-2023,,Census,United States
State,Idaho,ID,16,16,65.21,2019-2023,,Census,United States
State,Illinois,IL,17,17,59.08,2019-2023,,Census,United States
State,Indiana,IN,18,18,67.29,2019-2023,,Census,United States
State,Iowa,IA,19,19,65.26,2019-2023,,Census,United States
State,Kansas,KS,20,20,65.08,2019-2023,,Census,United States
State,Kentucky,KY,21,21,70.88,2019-2023,,Census,United States
State,Louisiana,LA,22,22,70.58,2019-2023,,Census,United States
State,Maine,ME,23,23,65.03,2019-2023,,Census,United States
State,Maryland,MD,24,24,49.14,2019-2023,,Census,United States
State,Massachusetts,MA,25,25,49.42,2019-2023,,Census,United States
State,Michigan,MI,26,26,65.78,2019-2023,,Census,United States
State,Minnesota,MN,27,27,56.34,2019-2023,,Census,United States
State,Mississippi,MS,28,28,74.97,2019-2023,,Census,United States
State,Missouri,MO,29,29,67.27,2019-2023,,Census,United States
State,Montana,MT,30,30,67.48,2019-2023,,Census,United States
State,Nebraska,NE,31,31,63.96,2019-2023,,Census,United States
State,Nevada,NV,32,32,63.24,2019-2023,,Census,United States
State,New Hampshire,NH,33,33,52.02,2019-2023,,Census,United States
State,New Jersey,NJ,34,34,49.52,2019-2023,,Census,United States
State,New Mexico,NM,35,35,70.50,2019-2023,,Census,United States
State,New York,NY,36,36,56.75,2019-2023,,Census,United States
State,North Carolina,NC,37,37,66.25,2019-2023,,Census,United States
State,North Dakota,ND,38,38,63.31,2019-2023,,Census,United States
State,Ohio,OH,39,39,66.59,2019-2023,,Census,United States
State,Oklahoma,OK,40,40,70.36,2019-2023,,Census,United States
State,Oregon,OR,41,41,60.12,2019-2023,,Census,United States
State,Pennsylvania,PA,42,42,62.28,2019-2023,,Census,United States
State,Rhode Island,RI,44,44,57.01,2019-2023,,Census,United States
State,South Carolina,SC,45,45,68.16,2019-2023,,Census,United States
State,South Dakota,SD,46,46,66.24,2019-2023,,Census,United States
State,Tennessee,TN,47,47,68.14,2019-2023,,Census,United States
State,Texas,TX,48,48,61.98,2019-2023,,Census,United States
State,Utah,UT,49,49,54.46,2019-2023,,Census,United States
State,Vermont,VT,50,50,61.27,2019-2023,,Census,United States
State,Virginia,VA,51,51,54.16,2019-2023,,Census,United States
State,Washington,WA,53,53,52.39,2019-2023,,Census,United States
State,West Virginia,WV,54,54,73.95,2019-2023,,Census,United States
State,Wisconsin,WI,55,55,63.56,2019-2023,,Census,United States
State,Wyoming,WY,56,56,63.84,2019-2023,,Census,United States
State,American Samoa,AS,60,60,N/A,2019-2023,,Census,United States
State,Guam,GU,66,66,N/A,2019-2023,,Census,United States
State,Commonwealth of the Northern Mariana Islands,MP,69,69,N/A,2019-2023,,Census,United States
State,Puerto Rico,PR,72,72,92.61,2019-2023,,Census,United States
State,Virgin Islands of the United States,VI,78,78,N/A,2019-2023,,Census,United States
