GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mhhinc,TimeFrame,GeoVintage,Source,Location
State,Alabama,AL,1,01,62027.00,2019-2023,,Census,United States
State,Alaska,AK,2,02,89336.00,2019-2023,,Census,United States
State,Arizona,AZ,4,04,76872.00,2019-2023,,Census,United States
State,Arkansas,AR,5,05,58773.00,2019-2023,,Census,United States
State,California,CA,6,06,96334.00,2019-2023,,Census,United States
State,Colorado,CO,8,08,92470.00,2019-2023,,Census,United States
State,Connecticut,CT,9,09,93760.00,2019-2023,,Census,United States
State,Delaware,DE,10,10,82855.00,2019-2023,,Census,United States
State,District of Columbia,DC,11,11,106287.00,2019-2023,,Census,United States
State,Florida,FL,12,12,71711.00,2019-2023,,Census,United States
State,Georgia,GA,13,13,74664.00,2019-2023,,Census,United States
State,Hawaii,HI,15,15,98317.00,2019-2023,,Census,United States
State,Idaho,ID,16,16,74636.00,2019-2023,,Census,United States
State,Illinois,IL,17,17,81702.00,2019-2023,,Census,United States
State,Indiana,IN,18,18,70051.00,2019-2023,,Census,United States
State,Iowa,IA,19,19,73147.00,2019-2023,,Census,United States
State,Kansas,KS,20,20,72639.00,2019-2023,,Census,United States
State,Kentucky,KY,21,21,62417.00,2019-2023,,Census,United States
State,Louisiana,LA,22,22,60023.00,2019-2023,,Census,United States
State,Maine,ME,23,23,71773.00,2019-2023,,Census,United States
State,Maryland,MD,24,24,101652.00,2019-2023,,Census,United States
State,Massachusetts,MA,25,25,101341.00,2019-2023,,Census,United States
State,Michigan,MI,26,26,71149.00,2019-2023,,Census,United States
State,Minnesota,MN,27,27,87556.00,2019-2023,,Census,United States
State,Mississippi,MS,28,28,54915.00,2019-2023,,Census,United States
State,Missouri,MO,29,29,68920.00,2019-2023,,Census,United States
State,Montana,MT,30,30,69922.00,2019-2023,,Census,United States
State,Nebraska,NE,31,31,74985.00,2019-2023,,Census,United States
State,Nevada,NV,32,32,75561.00,2019-2023,,Census,United States
State,New Hampshire,NH,33,33,95628.00,2019-2023,,Census,United States
State,New Jersey,NJ,34,34,101050.00,2019-2023,,Census,United States
State,New Mexico,NM,35,35,62125.00,2019-2023,,Census,United States
State,New York,NY,36,36,84578.00,2019-2023,,Census,United States
State,North Carolina,NC,37,37,69904.00,2019-2023,,Census,United States
State,North Dakota,ND,38,38,75949.00,2019-2023,,Census,United States
State,Ohio,OH,39,39,69680.00,2019-2023,,Census,United States
State,Oklahoma,OK,40,40,63603.00,2019-2023,,Census,United States
State,Oregon,OR,41,41,80426.00,2019-2023,,Census,United States
State,Pennsylvania,PA,42,42,76081.00,2019-2023,,Census,United States
State,Rhode Island,RI,44,44,86372.00,2019-2023,,Census,United States
State,South Carolina,SC,45,45,66818.00,2019-2023,,Census,United States
State,South Dakota,SD,46,46,72421.00,2019-2023,,Census,United States
State,Tennessee,TN,47,47,67097.00,2019-2023,,Census,United States
State,Texas,TX,48,48,76292.00,2019-2023,,Census,United States
State,Utah,UT,49,49,91750.00,2019-2023,,Census,United States
State,Vermont,VT,50,50,78024.00,2019-2023,,Census,United States
State,Virginia,VA,51,51,90974.00,2019-2023,,Census,United States
State,Washington,WA,53,53,94952.00,2019-2023,,Census,United States
State,West Virginia,WV,54,54,57917.00,2019-2023,,Census,United States
State,Wisconsin,WI,55,55,75670.00,2019-2023,,Census,United States
State,Wyoming,WY,56,56,74815.00,2019-2023,,Census,United States
State,American Samoa,AS,60,60,N/A,2019-2023,,Census,United States
State,Guam,GU,66,66,N/A,2019-2023,,Census,United States
State,Commonwealth of the Northern Mariana Islands,MP,69,69,N/A,2019-2023,,Census,United States
State,Puerto Rico,PR,72,72,25096.00,2019-2023,,Census,United States
State,Virgin Islands of the United States,VI,78,78,N/A,2019-2023,,Census,United States
