GeoID,Pct_Rent_Burden,Pct_Owner_Burden,Population_Density,Pct_New_Housing,Median_Household_Income
1,30.07,69.93,99.79,0.1,62027
2,33.41,66.59,1.29,0.05,89336
4,33.02,66.98,63.95,0.1,76872
5,33.86,66.14,58.33,0.15,58773
6,44.21,55.79,251.78,0.1,96334
8,33.68,66.32,56.07,0.2,92470
9,33.82,66.18,743.1,0.1,93760
10,27.73,72.27,516.22,0.1,82855
11,58.86,41.14,10994.94,0.26,106287
12,32.68,67.32,408.71,0.1,71711
13,34.64,65.36,187.51,0.15,74664
15,37.45,62.55,225.09,0,98317
16,27.63,72.37,22.91,0.2,74636
17,33.16,66.84,228.64,0.1,81702
18,29.65,70.35,190.13,0.15,70051
19,28.47,71.53,57.22,0.15,73147
20,33.12,66.88,35.93,0.1,72639
21,31.72,68.28,114.24,0.1,62417
22,32.68,67.32,106.94,0.2,60023
23,25.98,74.02,44.66,0.05,71773
24,32.52,67.48,635.43,0.05,101652
25,37.4,62.6,896.35,0.15,101341
26,27.08,72.92,177.56,0.05,71149
27,27.61,72.39,71.75,0.05,87556
28,30.53,69.47,62.9,0.1,54915
29,32.06,67.94,89.72,0.05,68920
30,30.58,69.42,7.59,0.2,69922
31,33.46,66.54,25.59,0.1,74985
32,40.69,59.31,28.59,0.1,75561
33,27.49,72.51,155,0.05,95628
34,36.31,63.69,1259.98,0.1,101050
35,30.66,69.34,17.43,0.1,62125
36,45.69,54.31,421.71,0.05,84578
37,33.63,66.37,217.68,0.15,69904
38,36.59,63.41,11.3,0.2,75949
39,33.01,66.99,288.31,0.1,69680
40,34.2,65.8,58.24,0.1,63603
41,36.63,63.37,44.15,0.1,80426
42,30.67,69.33,290.25,0.1,76081
44,36.75,63.25,1059.47,0.05,86372
45,28.57,71.43,173.39,0.2,66818
46,31.36,68.64,11.86,0.15,72421
47,32.97,67.03,169.43,0.15,67097
48,37.44,62.56,113.45,0.2,76292
49,29.37,70.63,40.33,0.25,91750
50,27.2,72.8,70.01,0.1,78024
51,32.82,67.18,219.28,0.1,90974
53,36.11,63.89,116.48,0.2,94952
54,25.69,74.31,74.23,0.1,57917
55,32.11,67.89,108.77,0.1,75670
56,28.08,71.92,5.97,0.1,74815
60,,,,,
66,,,,,
69,,,,,
72,31.88,68.12,950.51,0.05,25096
78,,,,,
